,year,country,sex,suicides_no,population,HDIforyear,gdp_for_year($),gdp_per_capita($),unemployment,depression_rate,suicides_per_100K
2693,2004,Georgia,male,147,1914200,,5125363001,1253,13.3999996185303,2.17528575505,7.67944833350747
2694,2004,Germany,female,2795,40353293,,2819245095605,35772,10.0773000717163,4.879082020589999,6.926324451389878
2695,2004,Germany,male,7946,38458521,,2819245095605,35772,11.2509002685547,2.89772151819,20.661220955428835
2696,2004,Greece,female,68,5336830,,240521260988,22804,15.9596004486084,5.647295198759999,1.2741646258171986
2697,2004,Greece,male,285,5210460,,240521260988,22804,6.41359996795654,3.04215510708,5.469766584908051
2698,2004,Grenada,female,0,47074,,599118593,6428,,3.18940348036,0.0
2699,2004,Grenada,male,1,46128,,599118593,6428,,2.4158480208400004,2.1678806798473813
2700,2004,Guatemala,female,66,5553209,,23965275996,2215,3.3763000965118395,4.1395826693,1.188501999474538
2701,2004,Guatemala,male,184,5264599,,23965275996,2215,2.75040006637573,2.73723400519,3.4950430222700724
2702,2004,Guyana,female,48,333765,,785918770,1180,,4.8473236688300005,14.381376117927283
2703,2004,Guyana,male,138,332543,,785918770,1180,,3.40264634283,41.498392689065774
2704,2004,Hungary,female,655,5076332,,104066609518,10806,5.8566999435424805,3.286087794,12.903017375538086
2705,2004,Hungary,male,2087,4553712,,104066609518,10806,5.81139993667603,2.35657333073,45.830742040779036
2706,2004,Iceland,female,9,135570,,13722824251,50528,2.7511000633239706,4.41453606141,6.6386368665634
2707,2004,Iceland,male,26,136018,,13722824251,50528,5.14809989929199,2.4433950923600003,19.115117116852183
2708,2004,Ireland,female,74,1890301,,193870350137,51662,3.83089995384216,5.362971454079998,3.914720459863271
2709,2004,Ireland,male,390,1862378,,193870350137,51662,4.96269989013672,3.32984618082,20.940969019178706
2710,2004,Israel,female,91,3106467,,135445033199,22168,13.7670001983643,5.16428198068,2.9293728212789643
2711,2004,Israel,male,320,3003464,,135445033199,22168,12.4060001373291,3.11859773972,10.654364427208051
2712,2004,Italy,female,940,28428086,,1798314750435,32704,10.2208995819092,4.30859294257,3.3065891245720866
2713,2004,Italy,male,3046,26560070,,1798314750435,32704,6.273799896240231,2.4398015101299997,11.468343268673614
2714,2004,Jamaica,female,0,1248432,,10150978155,4119,17.2833003997803,3.0763319209900004,0.0
2715,2004,Jamaica,male,1,1215976,,10150978155,4119,8.14449977874756,2.0231241748700004,0.08223846523286643
2716,2004,Japan,female,8270,61816000,,4815148854362,39960,4.40000009536743,3.6750712170499997,13.378413355765499
2717,2004,Japan,male,21764,58684000,,4815148854362,39960,4.90000009536743,2.40147186268,37.086769818008314
2718,2004,Kazakhstan,female,692,7229228,,43151647003,3110,9.84000015258789,3.9517545003400003,9.572253081518523
2719,2004,Kazakhstan,male,3702,6644100,,43151647003,3110,7.03000020980835,3.0220721255900003,55.71860748634126
2720,2004,Kuwait,female,17,799018,,59440108585,29778,,4.44834684589,2.1276116432921413
2721,2004,Kuwait,male,28,1197068,,59440108585,29778,,3.03409185856,2.339048408277558
2722,2004,Kyrgyzstan,female,75,2319808,,2211535312,484,,3.5666662922000003,3.2330261814770878
2723,2004,Kyrgyzstan,male,363,2252470,,2211535312,484,,2.59746090102,16.115641939737266
2724,2004,Latvia,female,106,1176197,,14373269156,6644,12.2679004669189,4.092167089009999,9.012095762869656
2725,2004,Latvia,male,457,987280,,14373269156,6644,11.172499656677198,3.0201271417799997,46.28879345271858
2726,2004,Lithuania,female,256,1729047,,22649930576,7028,11.0656003952026,4.9270741056,14.805843912860668
2727,2004,Lithuania,male,1124,1493922,,22649930576,7028,10.3177995681763,3.52065042294,75.23819851371088
2728,2004,Luxembourg,female,17,218164,,34685281848,80639,7.09469985961914,4.69167950829,7.792303038081444
2729,2004,Luxembourg,male,45,211964,,34685281848,80639,3.6826000213623,2.7641274938,21.230020192108093
2730,2004,Maldives,female,1,133600,,1226829563,4373,,4.0574738423899985,0.748502994011976
2731,2004,Maldives,male,0,146926,,1226829563,4373,,2.6952118249500003,0.0
2732,2004,Malta,female,10,192453,,6062780269,15916,8.25080013275146,4.35896687604,5.196073846601507
2733,2004,Malta,male,14,188465,,6062780269,15916,6.9197998046875,2.3949774239400003,7.428434987928793
2734,2004,Mauritius,female,22,558761,,6385695187,5789,13.3759002685547,4.298012257180001,3.937282666470996
2735,2004,Mauritius,male,75,544330,,6385695187,5789,5.6778998374939,2.93019828642,13.77840648136241
2736,2004,Mexico,female,675,48030275,,782240601985,8217,5.25069999694824,3.3274476270899997,1.4053635961901114
2737,2004,Mexico,male,3381,47162793,,782240601985,8217,3.20289993286133,2.19253730279,7.16878663229296
2738,2004,Montenegro,female,0,296190,,2073234418,3565,,3.12497924693,0.0
2739,2004,Montenegro,male,0,285433,,2073234418,3565,,1.97862950565,0.0
2740,2004,Netherlands,female,492,7729729,,650532654582,42614,5.04040002822876,5.1916798032400004,6.365035565929931
2741,2004,Netherlands,male,1022,7536132,,650532654582,42614,4.33129978179932,2.86434152206,13.561333585982835
2742,2004,New Zealand,female,113,1944520,,103904537815,27325,4.51900005340576,4.8688516122699985,5.811202764692572
2743,2004,New Zealand,male,382,1857990,,103904537815,27325,3.5650000572204603,3.3374865403099996,20.559852313521603
2744,2004,Norway,female,170,2173634,,264357494659,61450,3.92280006408691,4.43092344079,7.821003904061126
